the
I
a
to
his
he
and
it
of
that
The
was
in
not
be
you
had
as
my
they
He
time
her
have
all
we
But
him
with
for
their
It
little
at
which
been
Mr
on
man
this
said
so
me
one
is
And
were
them
an
no
she
men
day
our
if
very
by
would
You
there
then
but
more
your
do
water
hand
some
donot
two
found
night
They
head
up
see
what
We
thought
round
from
out
us
moment
now
are
soon
half
What
any
look
sir
There
will
when
could
Then
left
A
ship
boy
much
go
work
tell
No
boat
good
course
house
way
Jack
eyes
heard
other
face
This
about
As
only
make
hands
into
Well
replied
get
come
sea
well
made
Yes
Tom
seen
If
mind
such
Now
In
door
take
morning
She
told
till
say
once
set
At
fire
long
cried
like
felt
its
life
poor
home
Oh
father
So
than
first
looking
feet
stood
know
great
Mrs
down
light
or
never
old
deck
did
over
Captain
hour
That
wind
mother
again
When
fellow
answered
lay
friend
before
being
returned
indeed
brought
I am
board
boys
close
must
gone
passed
people
Why
just
those
too
after
last
might
hope
went
these
captain
few
heart
hear
help
short
name
For
rest
sight
every
came
called
My
party
another
ready
word
back
voice
minutes
quite
upon
matter
most
white
here
put
still
fell
three
near
I will
days
run
sat
Harry
can
nothing
going
ever
ground
think
hard
believe
exclaimed
leave
own
many
should
it is
How
find
right
better
forward
sent
far
followed
coming
may
has
length
done
how
five
mean
Dick
give
himself
kept
fact
shot
lost
years
canot
same
cut
towards
even
young
hold
His
continued
taking
appeared
distance
evening
air
dark
off
place
friends
got
words
dead
nearly
All
country
who
means
where
though
doubt
suppose
ran
bed
sort
care
sound
CHAPTER
rose
black
feel
call
strong
crew
school
reached
English
deep
watch
bad
master
To
shore
pretty
return
something
saw
suddenly
away
wish
let
keep
shall
held
ye
hours
sail
looked
low
river
miles
Miss
God
arms
fear
Here
On
speak
caught
carried
seemed
land
getting
each
while
having
whole
hundred
sun
wonot
true
ten
fast
arm
didnot
through
six
woman
Not
heavy
chance
body
I have
world
money
boats
eye
island
top
without
took
both
question
Do
try
talk
position
spot
side
business
foot
taken
trees
line
anything
glad
thing
table
manner
sure
bring
One
twenty
walked
love
observed
past
gun
understand
feeling
almost
times
yet
end
spoke
doctor
deal
It is
sleep
Mark
By
small
idea
laid
lady
Come
under
read
letter
Bevis
an'
afraid
death
fine
minute
wild
possible
standing
next
struck
gentleman
direction
After
craft
quarter
THE
stand
cabin
already
best
met
answer
rock
somewhat
weather
entered
fight
tree
George
lad
always
child
appearance
remained
escape
yards
fellows
least
Ah
afterwards
story
turned
also
girl
Of
running
shouted
uncle
arrived
except
vessel
mouth
began
immediately
horse
enemy
that is
rather
window
full
enough
skipper
town
scarcely
chief
whom
brother
strange
tried
four
saying
reason
received
room
things
wife
fall
slowly
guns
remember
carry
bit
myself
form
beyond
added
led
drew
red
Sir
late
week
son
road
straight
mine
knew
fish
able
trouble
difficulty
lying
duty
year
anxious
none
hardly
Donot
children
making
silence
dear
expected
broken
following
Edward
front
large
number
quiet
evidently
With
Is
leaving
mile
asked
quickly
breakfast
latter
blue
pass
danger
fair
dinner
news
war
force
seeing
dog
wonder
thinking
safe
new
presently
usual
save
sometimes
meet
probably
order
attempt
part
cold
blood
comes
afternoon
company
charge
surprise
proceeded
companion
sky
send
piece
wrong
easy
reach
main
Let
stopped
whatever
please
breeze
walk
sorry
cry
sharp
John
bound
service
grew
glass
effect
ill
change
fresh
he is
turn
outside
started
reply
sitting
gave
strength
because
broke
impossible
smile
dozen
That is
purpose
attack
bottom
view
schooner
worse
attention
follow
wood
blow
there is
king
power
wall
morrow
several
Martin
altogether
bear
discovered
family
s
point
tone
happy
quietly
hot
beautiful
open
use
opportunity
passage
hair
instant
Amyas
eight
account
laughed
truth
dropped
stream
placed
wouldnot
sudden
object
case
others
therefore
wait
waiting
village
live
carefully
England
shoulder
scene
act
camp
paper
legs
less
play
easily
ships
clear
giving
pulled
however
laugh
thick
talking
lips
character
heads
beside
perhaps
stay
stern
ahead
fallen
given
stop
aunt
remain
pocket
pay
couldnot
Good
presence
alongside
rapidly
burst
Alice
corner
doing
mate
Very
French
meant
bow
Doctor
raised
Look
present
result
although
sprang
determined
free
officer
bright
darkness
you are
until
rocks
second
birds
broad
Will
killed
conversation
loud
lads
unless
single
allowed
beginning
gold
earth
remarked
 them
edge
wide
ears
perfectly
pleased
brig
floor
certain
Jim
smoke
gentlemen
Master
stone
women
either
pleasant
asleep
sooner
Diamond
canvas
threw
sit
terrible
book
Indian
pleasure
Clare
notice
subject
occasion
William
grass
finished
you will
watching
expect
nature
catch
Don
laughing
of the clock
Who
green
filled
bank
visit
opinion
trying
chair
fore
Where
wounded
port
Roger
Ready
eat
horses
shook
apparently
further
officers
engaged
Walter
interest
speed
These
step
quick
months
King
covered
greatly
want
food
rising
agreed
search
move
break
plenty
Lord
fancy
trust
circumstances
rushed
couple
seized
aft
command
often
garden
person
lives
worth
silent
ashore
die
high
sails
clothes
journey
distant
Just
particular
Eric
difficult
London
obliged
since
study
sufficient
third
become
show
lie
hill
plain
neck
forth
ask
aboard
watched
aware
within
fairly
ainot
condition
moved
'
hurt
goes
events
Humphrey
lower
rope
hole
narrow
finding
possibly
considerable
completely
especially
dry
rate
along
busy
gradually
Spanish
thus
keeping
exactly
occurred
thrown
prepared
noise
middle
proved
tea
allow
hung
Some
beach
breath
Reginald
start
nearer
cast
former
seven
kind
ladies
matters
Indeed
Max
thoughts
Micawber
task
However
among
forest
fired
everything
moon
knife
begin
inside
dare
honour
surprised
died
coast
yard
putting
else
shut
self
game
lieutenant
north
besides
lived
surface
alive
serious
drawing
fit
tired
forget
Harvey
wished
hat
really
pair
Our
spirit
tears
big
British
passing
cottage
Are
daughter
thank
perfect
snow
caused
action
known
plan
gale
pieces
supposed
spirits
steps
soul
speaking
satisfied
Your
instantly
holding
required
sense
possession
O
de
path
whispered
succeeded
happened
demanded
rush
Peggotty
learned
closed
glance
considered
Perhaps
Bill
street
thousand
crowd
meal
drink
hut
storm
huge
pale
Jeffreys
soft
swept
Curdie
Campbell
knowing
behind
against
age
There is
sign
iron
beneath
loss
box
pull
walking
paid
rough
Never
Have
I would
teeth
fleet
twice
While
warm
arrival
figure
nose
directly
satisfaction
Mole
tail
sand
settled
oars
decided
guard
Her
hit
